id;fecha;tipo;accion;que;plataforma_pago;cantidad;detalle1;detalle2;created_at;updated_at
94;2021-05-30T00:00:00-02:00;Comida;Gasto;Supermercado;any;7.5;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
95;2021-05-31T00:00:00-02:00;Comida;Gasto;Supermercado;any;4.37;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
96;2021-06-02T00:00:00-02:00;Comida;Gasto;Supermercado;any;25.11;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
97;2021-06-02T00:00:00-02:00;Empleo;Ingreso;EFIWATT;any;998.2;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
98;2021-06-03T00:00:00-02:00;Ads;Gasto;Post MTM;any;8.16;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
99;2021-06-03T00:00:00-02:00;Alquiler;Gasto;Piso;any;200;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
100;2021-06-03T00:00:00-02:00;Otros Gastos;Gasto;Cosas del piso;any;43;limpieza+internet;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
101;2021-06-03T00:00:00-02:00;Otros Gastos;Gasto;Regalos;any;32;Santo y cumple Mamá;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
102;2021-06-04T00:00:00-02:00;Viajes/ Transporte;Gasto;Gasolina;any;10;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
103;2021-06-04T00:00:00-02:00;Hobby;Gasto;Squash;any;30;Bono x5;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
104;2021-06-05T00:00:00-02:00;Café;Gasto;Bar;any;3.7;Esperar en Campos;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
105;2021-06-05T00:00:00-02:00;Otros Gastos;Gasto;Regalos;any;17.1;Pastel Maria Bonet;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
106;2021-06-05T00:00:00-02:00;Cripto D;Inversión;Binance;any;200;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
107;2021-06-06T00:00:00-02:00;Tools;Gasto;Dominio;any;6.44;Nelium.es;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
108;2021-06-07T00:00:00-02:00;Hobby;Gasto;Squash;any;3.99;Squash grip;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
109;2021-06-08T00:00:00-02:00;Café;Gasto;Starbucks;any;3.3;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
110;2021-06-17T00:00:00-02:00;Comida;Gasto;Supermercado;any;1.87;Café y bocata;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
111;2021-06-18T00:00:00-02:00;Comida;Gasto;Bar;any;5.9;Bocata y Aquarius (Desmayo);;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
112;2021-06-18T00:00:00-02:00;QFI;Gasto;Bar;any;9.8;Bravas;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
113;2021-06-19T00:00:00-02:00;Comida;Gasto;Supermercado;any;6;Cena casa Jordi;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
114;2021-06-19T00:00:00-02:00;Comida;Gasto;Restaurante;any;25.8;Desayuno con Mar;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
115;2021-06-19T00:00:00-02:00;Comida;Gasto;Supermercado;any;9.32;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
116;2021-06-20T00:00:00-02:00;Viajes/ Transporte;Gasto;Vuelo BCN;any;33.46;Amadeo y Navarro Bcn;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
117;2021-06-20T00:00:00-02:00;QFI;Gasto;Restaurante;any;20;Cena María Esporlas;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
118;2021-06-21T00:00:00-02:00;Comida;Gasto;Supermercado;any;2.62;Café y bocata;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
119;2021-06-22T00:00:00-02:00;Tools;Gasto;Hosting;any;12.04;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
120;2021-06-22T00:00:00-02:00;Comida;Gasto;Supermercado;any;14.09;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
121;2021-06-23T00:00:00-02:00;Viajes/ Transporte;Gasto;Gasolina;any;10;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
122;2021-06-24T00:00:00-02:00;Comida;Gasto;Supermercado;any;4.32;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
123;2021-06-25T00:00:00-02:00;Hobby;Gasto;Squash;any;4.99;Encordar raqueta;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
124;2021-06-26T00:00:00-02:00;Comida;Gasto;Supermercado;any;1.87;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
125;2021-06-28T00:00:00-02:00;Comida;Gasto;Supermercado;any;4.82;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
126;2021-06-30T00:00:00-02:00;Café;Gasto;Starbucks;any;3.8;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
127;2021-07-01T00:00:00-02:00;QFI;Gasto;Restaurante;any;11.5;Estela saca plaza nefrologia;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
128;2021-07-02T00:00:00-02:00;Empleo;Ingreso;EFIWATT;any;1167;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
129;2021-07-02T00:00:00-02:00;QFI;Gasto;Pádel;any;20;Padel y cervezas Amadeo;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
130;2021-07-03T00:00:00-02:00;Alquiler;Gasto;Piso;any;200;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
131;2021-07-03T00:00:00-02:00;Otros Gastos;Gasto;Cosas del piso;any;58;limpieza, internet y alguna deuda;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
132;2021-07-03T00:00:00-02:00;Comida;Gasto;Restaurante;any;37;Buena comida BCN;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
133;2021-07-03T00:00:00-02:00;QFI;Gasto;Fiesta;any;20;Salir en BCN;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
134;2021-07-04T00:00:00-02:00;Comida;Gasto;Shake;any;34.42;Esjoy 2 bolsas;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
135;2021-07-04T00:00:00-02:00;Viajes/ Transporte;Gasto;Gasolina;any;10;Gasolina moto Amadeo BCN;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
136;2021-07-04T00:00:00-02:00;Comida;Gasto;Restaurante;any;27.5;Fosters Amadeo BCN;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
137;2021-07-04T00:00:00-02:00;QFI;Gasto;Cine;any;10.5;Fast&Furious y palomitas;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
138;2021-07-05T00:00:00-02:00;Viajes/ Transporte;Gasto;Viaje Menorca;any;177;barco y hotel;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
139;2021-07-06T00:00:00-02:00;Comida;Gasto;Supermercado;any;0.82;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
140;2021-07-06T00:00:00-02:00;Comida;Gasto;Restaurante;any;5.4;Kebab con Jordi en piso;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
141;2021-07-08T00:00:00-02:00;Cripto D;Inversión;Binance;any;200;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
142;2021-07-08T00:00:00-02:00;Comida;Gasto;Restaurante;any;2;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
143;2021-07-08T00:00:00-02:00;Viajes/ Transporte;Gasto;Viaje Galicia;any;74.46;Vuelos Galicia 15-20 Agosto;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
144;2021-07-09T00:00:00-02:00;Hobby;Gasto;Squash;any;40;Raqueta 2º mano Nick;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
145;2021-07-10T00:00:00-02:00;Otros Gastos;Gasto;Corte Pelo;Cash;7;;Bros;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
146;2021-07-11T00:00:00-02:00;Viajes/ Transporte;Gasto;Gasolina;any;10;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
147;2021-07-12T00:00:00-02:00;Hobby;Gasto;Squash;any;8;Entreno;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
148;2021-07-12T00:00:00-02:00;Comida;Gasto;Supermercado;any;7.5;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
149;2021-07-13T00:00:00-02:00;Comida;Gasto;Restaurante;any;5.9;kebab con amiga de Mar;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
150;2021-07-15T00:00:00-02:00;Comida;Gasto;Supermercado;any;4;;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
151;2021-07-17T00:00:00-02:00;Comida;Gasto;Viaje Menorca;any;3.3;Supermercado;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
152;2021-07-17T00:00:00-02:00;Café;Gasto;Viaje Menorca;any;14.6;invitación bebida bar playa;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
153;2021-07-17T00:00:00-02:00;Comida;Gasto;Viaje Menorca;any;22.8;Restaurante;;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
154;2021-07-18T00:00:00-02:00;Otros Ingresos;Ingreso;Ventas;any;400;Venta Mini (400/3400);;2025-04-04T00:00:00-02:00;2025-04-04T00:00:00-02:00
